Date,State,Confirmed,Recovered,Deceased,Tested
05/06/2021,Andaman and Nicobar Islands,7088,6852,121,388486
05/06/2021,Andhra Pradesh,1738990,1593921,11296,19619590
05/06/2021,Arunachal Pradesh,28786,24835,122,616569
05/06/2021,Assam,428933,373244,3577,11494805
05/06/2021,Bihar,711190,695562,5319,30350360
05/06/2021,Chandigarh,60487,58717,765,518931
05/06/2021,Chhattisgarh,978220,938081,13162,9343365
05/06/2021,Delhi,1428863,1397575,24557,19603764
05/06/2021,DNH and DD,10402,10135,4,72410
05/06/2021,Goa,158423,146597,2727,838789
05/06/2021,Gujarat,814390,782374,9906,22092779
05/06/2021,Himachal Pradesh,193924,180870,3244,1986041
05/06/2021,Haryana,760914,741255,8605,9219033
05/06/2021,Jharkhand,340408,328542,5034,8716686
05/06/2021,Jammu and Kashmir,297602,263961,4026,8746810
05/06/2021,Karnataka,2669514,2358412,30895,30299885
05/06/2021,Kerala,2601083,2416297,9511,20288452
05/06/2021,Ladakh,19076,17528,194,274174
05/06/2021,Lakshadweep,8568,7294,36,143494
05/06/2021,Maharashtra,5805565,5507058,98771,36031395
05/06/2021,Meghalaya,37733,30980,643,591464
05/06/2021,Manipur,53690,43779,863,743534
05/06/2021,Madhya Pradesh,783743,762597,8257,10204296
05/06/2021,Mizoram,13300,9816,51,400698
05/06/2021,Nagaland,22387,16637,416,197054
05/06/2021,Odisha,806094,724402,3005,12040830
05/06/2021,Punjab,576119,534915,14927,9530712
05/06/2021,Puducherry,108439,98043,1613,1094751
05/06/2021,Rajasthan,944500,911897,8599,10795522
05/06/2021,Sikkim,16518,11766,266,130615
05/06/2021,Telangana,587664,553400,3346,15625309
05/06/2021,Tamil Nadu,2195402,1900306,26128,28371312
05/06/2021,Tripura,54577,47603,547,1006421
05/06/2021,Uttar Pradesh,1696324,1652417,21031,50723832
05/06/2021,Uttarakhand,332959,301128,6631,4913184
05/06/2021,West Bengal,1411448,1342391,16034,12716953
